Chunk,Word,Pronunciation,Part of Speech,Definition
1,ABASH,uh BASH,v,to make ashamed; to embarrass
1,ARCHETYPE,AHR kuh type,n,an original model or pattern An archetype is similar to a prototype.
1,COALESCE,koh uh LES,v,to come together as one; to fuse; to unite
1,DESPOT,DES puht,n,an absolute ruler; an autocrat
1,EXTRICATE,EK struh kayt,v,to free from difficulty
1,INCENSE,in SENS,v,to make very angry
1,MATRICULATE,muh TRIK yuh layt,v,"to enroll, especially at a college"
1,PERJURY,PUR jur ee,n,lying under oath
1,RECLUSIVE,ri KLOOS iv,adj,hermitlike; withdrawn from society
1,SUBTLE,SUT ul,adj,not obvious; able to make fine distinctions; ingenious; crafty
2,ABATE,uh BAYT,v,to subside; to reduce
2,ARDENT,AHR dunt,adj,passionate; enthusiastic
2,COERCE,koh URS,v,to force someone to do or not to do something
2,DESTITUTE,DES tuh toot,adj,"extremely poor; utterly lacking Destitute people are people who don’t have, or severely lack, money and possessions."
2,EXTROVERT,EKS truh vurt,n,"an open, outgoing person; a person whose attention is focused on others rather than on himself or herself"
2,INCESSANT,in SES unt,adj,unceasing
2,MAUDLIN,MAWD lin,adj,silly and overly sentimental
2,PERMEATE,PUR mee ayt,v,to spread or seep through; to penetrate
2,RECONDITE,REK un dyte,adj,hard to understand; over one’s head
2,SUBVERSIVE,sub VUR siv,adj,corrupting; overthrowing; undermining; insurgent
